"ORI","IncidentId","IncidentDate","TotalVictims","TotalOffenders","OffenderRaceId"
"CA0050000","14-0003176","2014-11-20",1,1,"I"
"CA0050000","14-000533","2014-02-21",1,1,"W"
"CA0050100","14-0596","2014-06-06",0,0,"U"
"CA0070100","14009587","2014-09-29",1,1,"W"
"CA0070100","14010816","2014-11-03",3,3,"B"
"CA0070200","14000221","2014-01-16",1,0,"U"
"CA0070200","14003666","2014-08-24",1,0,"U"
"CA0070500","2014-2050","2014-01-27",1,1,"W"
"CA0070600","2014-10653","2014-08-15",1,0,"U"
"CA0071200","14-41992","2014-12-21",1,1,"W"
"CA0071800","1403-4819","2014-03-31",0,0,"U"
"CA0071800","1404-1465","2014-04-09",2,1,"W"
"CA0072400","14-1086","2014-04-16",1,0,"U"
"CA0100200","140002559","2014-09-04",1,1,"W"
"CA0100500","14002577","2014-01-12",1,1,"W"
"CA0100500","14004089","2014-01-18",2,2,"W"
"CA0100500","14015854","2014-03-04",2,0,"U"
"CA0100500","14054377","2014-07-26",1,0,"U"
"CA0100500","14056829","2014-08-05",2,0,"U"
"CA0100500","14072998","2014-10-05",1,1,"W"
"CA0100500","14082944","2014-11-16",2,0,"U"
"CA0100500","14086567","2014-12-01",1,1,"W"
"CA0110000","2014-00479","2014-03-15",1,1,"W"
"CA0120000","201402381","2014-05-26",1,1,"W"
"CA0120100","14-4019","2014-11-14",1,1,"B"
"CA0120300","3C14-1417","2014-02-13",1,1,"W"
"CA0130000","1404-1795","2014-04-22",1,1,"I"
"CA0150200","14-238390","2014-10-29",1,1,"W"
"CA0150200","14-239717","2014-10-31",1,1,"W"
"CA0150200","BK14-188991","2014-08-28",1,1,"W"
"CA0150200","BK14-193179","2014-08-30",1,0,"U"
"CA0150900","14-08-1292","2014-08-12",1,0,"U"
"CA0170200","14-1303","2014-05-07",4,3,"W"
"CA0190000","014-00520-83","2014-11-19",0,0,"U"
"CA0190000","014-01492-85","2014-07-30",1,1,"W"
"CA0190000","014-08543-03","2014-09-15",1,0,"U"
"CA0190000","014-10303-49","2014-08-04",2,1,"W"
"CA0190000","014-16837-11","2014-09-23",0,0,"U"
"CA0190000","014-80007-12","2014-08-14",0,0,"U"
"CA0190000","14-00431-08","2014-01-28",1,1,"W"
"CA0190000","14-00824-07","2014-04-16",1,1,"U"
"CA0190000","14-01218-04","2014-01-25",1,0,"U"
"CA0190000","14-03654-03","2014-04-21",1,8,"W"
"CA0190000","14-04255-28","2014-04-06",2,1,"W"
"CA0190100","14-05034","2014-08-03",1,0,"U"
"CA0190500","2014-3430","2014-08-22",1,1,"W"
"CA0191000","14-36128","2014-09-02",2,0,"U"
"CA0191200","14-3628","2014-04-24",1,1,"W"
"CA0191300","1402738","2014-10-01",0,0,"U"
"CA0191500","014-10136-28","2014-08-03",3,2,"W"
"CA0191500","14-02733-60","2014-05-19",2,1,"W"
"CA0191500","14-06470-28","2014-05-21",2,4,"W"
"CA0191900","14-00520-23","2014-02-07",0,0,"U"
"CA0191H00","014-06261-09","2014-11-24",1,0,"U"
"CA0191H00","14-01054-09","2014-02-25",1,1,"W"
"CA0191H00","14-02167-09","2014-04-29",1,0,"U"
"CA0191H00","14-03383-09","2014-06-30",2,2,"B"
"CA0191R00","014-11098-06","2014-08-28",1,2,"W"
"CA0191R00","11-06279-06","2014-05-21",1,0,"U"
"CA0192200","14-CR-10569","2014-11-29",2,3,"W"
"CA0192200","14-CR-140","2014-01-05",1,1,"W"
"CA0192200","14-CR-909","2014-01-28",0,1,"W"
"CA0192200","14CR7771","2014-09-01",2,3,"W"
"CA0192200","14CR9213","2014-10-15",1,1,"W"
"CA0192400","14-3688","2014-07-02",1,1,"A"
"CA0192500","14-10236","2014-07-22",0,1,"W"
"CA0192700","14-06783-13","2014-04-11",1,4,"W"
"CA0192J00","014-05834-10","2014-10-21",1,1,"W"
"CA0192U00","014-04647-68","2014-08-24",1,1,"W"
"CA0192U00","014-04970-60","2014-09-08",1,2,"B"
"CA0192U00","014-04999-68","2014-09-09",1,1,"W"
"CA0192U00","014-05822-65","2014-10-23",1,1,"W"
"CA0192U00","14-00934-68","2014-02-17",1,2,"W"
"CA0192U00","14-02207-64","2014-04-23",1,1,"W"
"CA0192U00","14-02239-68","2014-04-24",2,1,"B"
"CA0192U00","14-02276-60","2014-04-27",1,1,"B"
"CA0192U00","14-03559-651","2014-07-01",1,2,"W"
"CA0192U00","14-03674-601","2014-07-07",1,2,"B"
"CA0193300","14-8607","2014-10-04",1,1,"B"
"CA0193700","014-10013-14","2014-09-09",1,3,"W"
"CA0194100","14-64863","2014-10-23",1,1,"W"
"CA0194100","140013217","2014-03-02",1,0,"U"
"CA0194100","140017685","2014-03-23",4,3,"B"
"CA0194100","140030029","2014-05-18",1,1,"W"
"CA0194100","140033883","2014-06-04",1,1,"B"
"CA0194100","140036075","2014-06-15",1,2,"W"
"CA0194100","140039966","2014-07-02",1,1,"W"
"CA0194100","140040285","2014-07-04",0,0,"U"
"CA0194100","140064955","2014-10-23",2,1,"W"
"CA0194200","140101141","2014-08-10",1,2,"B"
"CA0194200","140112642","2014-05-17",1,1,"U"
"CA0194200","140119323","2014-08-18",1,2,"B"
"CA0194200","140122894","2014-10-07",1,1,"B"
"CA0194200","140123599","2014-10-24",1,1,"U"
"CA0194200","140125320","2014-11-12",1,1,"B"
"CA0194200","140126716","2014-12-05",2,1,"B"
"CA0194200","140200870","2014-12-24",1,2,"W"
"CA0194200","140210608","2014-05-09",1,3,"W"
"CA0194200","140211121","2014-05-19",1,1,"W"
"CA0194200","140212269","2014-06-10",1,2,"W"
"CA0194200","140220779","2014-11-14",1,0,"U"
"CA0194200","140311664","2014-05-12",1,1,"W"
"CA0194200","140311727","2014-05-13",1,1,"W"
"CA0194200","140322400","2014-10-13",3,2,"B"
"CA0194200","140324499","2014-11-27",1,2,"B"
"CA0194200","140414647","2014-09-25",1,1,"W"
"CA0194200","140414880","2014-09-24",4,1,"W"
"CA0194200","140415528","2014-09-10",1,1,"W"
"CA0194200","140417816","2014-12-05",1,1,"A"
"CA0194200","140501043","2014-07-31",1,1,"W"
"CA0194200","140501255","2014-11-01",1,0,"U"
"CA0194200","140507097","2014-03-19",1,1,"W"
"CA0194200","140507982","2014-04-06",2,1,"W"
"CA0194200","140601201","2014-12-31",1,1,"W"
"CA0194200","140615040","2014-06-14",1,1,"W"
"CA0194200","140615041","2014-06-14",1,1,"W"
"CA0194200","140621902","2014-11-04",1,1,"W"
"CA0194200","140623159","2014-11-24",1,1,"W"
"CA0194200","140700970","2014-07-06",1,2,"W"
"CA0194200","140701115","2014-09-03",1,1,"W"
"CA0194200","140712584","2014-08-12",1,1,"W"
"CA0194200","140713755","2014-09-11",1,1,"W"
"CA0194200","140809272","2014-05-17",0,0,"U"
"CA0194200","140816257","2014-11-20",1,0,"U"
"CA0194200","140905317","2014-01-26",1,1,"U"
"CA0194200","141005456","2014-02-02",1,1,"W"
"CA0194200","141007551","2014-03-26",2,0,"U"
"CA0194200","141013681","2014-08-15",1,1,"W"
"CA0194200","141018276","2014-12-06",2,1,"W"
"CA0194200","141105456","2014-02-02",1,1,"W"
"CA0194200","141114478","2014-08-04",1,2,"W"
"CA0194200","141119653","2014-11-14",1,1,"W"
"CA0194200","141215955","2014-07-08",1,3,"W"
"CA0194200","141224702","2014-11-13",1,0,"U"
"CA0194200","141306299","2014-02-11",1,1,"W"
"CA0194200","141310218","2014-04-23",1,1,"W"
"CA0194200","141312563","2014-06-06",1,1,"W"
"CA0194200","141405427","2014-01-19",2,1,"W"
"CA0194200","141409068","2014-03-09",0,0,"U"
"CA0194200","141423242","2014-09-12",1,0,"U"
"CA0194200","141424150","2014-09-23",1,0,"U"
"CA0194200","141428035","2014-11-06",1,1,"W"
"CA0194200","1415-20452","2014-11-11",1,1,"A"
"CA0194200","141518749","2014-10-10",1,0,"U"
"CA0194200","141601097","2014-06-15",0,0,"U"
"CA0194200","141714548","2014-08-29",1,2,"B"
"CA0194200","141814225","2014-07-20",2,2,"W"
"CA0194200","141901130","2014-10-03",1,0,"U"
"CA0194200","141915723","2014-07-21",1,3,"U"
